            ╭------------------------------------╮
       Type | Setup                              |
        Qty | 1                                  |
      Title | The Coveted Starting Player        |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 |                                    |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | Go First!                          |
Description | Can be bought by trashing 1 of any |
            |  Resource.                         |
         VP | 40                                 |
      Snark | Because just going around in a cir |
            | cle is not strategic enough.       |
     PreReq |                                    |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Engine                             |
        Qty | 3                                  |
      Title | The Building Building Building     |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 | <span font="FontAwesome"></span>  |
            | Stone                              |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | Building                           |
Description | You may now build buildings.       |
         VP | 20                                 |
      Snark | Really, it's just a coincidence th |
            | at we happen to also be housed in  |
            | a building. In fact, we built our  |
            | own building. We did not need a bu |
            | ilding building building building  |
            | building.                          |
     PreReq | <span font="FontAwesome"></span>  |
            | Stone                              |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Engine                             |
        Qty | 3                                  |
      Title | The Building Building Building     |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 | <span font="FontAwesome"></span>  |
            | Stone                              |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | Building                           |
Description | You may now build buildings.       |
         VP | 20                                 |
      Snark | Really, it's just a coincidence th |
            | at we happen to also be housed in  |
            | a building. In fact, we built our  |
            | own building. We did not need a bu |
            | ilding building building building  |
            | building.                          |
     PreReq | <span font="FontAwesome"></span>  |
            | Stone                              |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Engine                             |
        Qty | 3                                  |
      Title | The Building Building Building     |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 | <span font="FontAwesome"></span>  |
            | Stone                              |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | Building                           |
Description | You may now build buildings.       |
         VP | 20                                 |
      Snark | Really, it's just a coincidence th |
            | at we happen to also be housed in  |
            | a building. In fact, we built our  |
            | own building. We did not need a bu |
            | ilding building building building  |
            | building.                          |
     PreReq | <span font="FontAwesome"></span>  |
            | Stone                              |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Engine                             |
        Qty | 3                                  |
      Title | The Military Strategy              |
     Bonus1 | Soldier                            |
     Bonus2 |                                    |
     Trash1 |                                    |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | Military                           |
Description | Player with most soldiers may tras |
            | h any 1 available Special at round |
            |  start in Midgame.                 |
         VP | 20                                 |
      Snark | This strategy worked for me once.  |
            | I think.                           |
     PreReq |                                    |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Engine                             |
        Qty | 3                                  |
      Title | The Military Strategy              |
     Bonus1 | Soldier                            |
     Bonus2 |                                    |
     Trash1 |                                    |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | Military                           |
Description | Player with most soldiers may tras |
            | h any 1 available Special at round |
            |  start in Midgame.                 |
         VP | 20                                 |
      Snark | This strategy worked for me once.  |
            | I think.                           |
     PreReq |                                    |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Engine                             |
        Qty | 3                                  |
      Title | The Military Strategy              |
     Bonus1 | Soldier                            |
     Bonus2 |                                    |
     Trash1 |                                    |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | Military                           |
Description | Player with most soldiers may tras |
            | h any 1 available Special at round |
            |  start in Midgame.                 |
         VP | 20                                 |
      Snark | This strategy worked for me once.  |
            | I think.                           |
     PreReq |                                    |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Engine                             |
        Qty | 2                                  |
      Title | The Grain Engine                   |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 | <span font="FontAwesome"></span>  |
            | Wood                               |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | Bake Bread                         |
Description | You may trash 1 Grain for any 1 Re |
            | source, any number of times.       |
         VP | 20                                 |
      Snark | A solid choice, but be sure to com |
            | mit to it.                         |
     PreReq | <span font="FontAwesome"></span>  |
            | Wood                               |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Engine                             |
        Qty | 2                                  |
      Title | The Grain Engine                   |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 | <span font="FontAwesome"></span>  |
            | Wood                               |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | Bake Bread                         |
Description | You may trash 1 Grain for any 1 Re |
            | source, any number of times.       |
         VP | 20                                 |
      Snark | A solid choice, but be sure to com |
            | mit to it.                         |
     PreReq | <span font="FontAwesome"></span>  |
            | Wood                               |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Engine                             |
        Qty | 2                                  |
      Title | The Animal Engine                  |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 | <span font="FontAwesome"></span>  |
            | Clay                               |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | Insta-slaughter                    |
Description | You may trash 1 Animal for any 1 R |
            | esource, any number of times.      |
         VP | 20                                 |
      Snark | Let's just say you should be happy |
            |  this card has no artwork.         |
     PreReq | <span font="FontAwesome"></span>  |
            | Clay                               |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Engine                             |
        Qty | 2                                  |
      Title | The Animal Engine                  |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 | <span font="FontAwesome"></span>  |
            | Clay                               |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | Insta-slaughter                    |
Description | You may trash 1 Animal for any 1 R |
            | esource, any number of times.      |
         VP | 20                                 |
      Snark | Let's just say you should be happy |
            |  this card has no artwork.         |
     PreReq | <span font="FontAwesome"></span>  |
            | Clay                               |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Engine                             |
        Qty | 3                                  |
      Title | The Ladder Engine                  |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 |                                    |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | Trash-n-Climb                      |
Description | As an action, once per turn, you m |
            | ay trash 1 Special in your hand or |
            |  1 Resource card on your tableau t |
            | o Climb a Ladder 1 space.          |
         VP | 20                                 |
      Snark | See you at the top!                |
     PreReq |                                    |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Engine                             |
        Qty | 3                                  |
      Title | The Ladder Engine                  |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 |                                    |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | Trash-n-Climb                      |
Description | As an action, once per turn, you m |
            | ay trash 1 Special in your hand or |
            |  1 Resource card on your tableau t |
            | o Climb a Ladder 1 space.          |
         VP | 20                                 |
      Snark | See you at the top!                |
     PreReq |                                    |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Engine                             |
        Qty | 3                                  |
      Title | The Ladder Engine                  |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 |                                    |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | Trash-n-Climb                      |
Description | As an action, once per turn, you m |
            | ay trash 1 Special in your hand or |
            |  1 Resource card on your tableau t |
            | o Climb a Ladder 1 space.          |
         VP | 20                                 |
      Snark | See you at the top!                |
     PreReq |                                    |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Blocker                            |
        Qty | 4                                  |
      Title | The Artificial Need                |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 |                                    |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power |                                    |
Description | To trash this card, you must trash |
            |  3 Food in one turn before Endgame |
            | .                                  |
         VP | -100                               |
      Snark | Food is how we keep you from makin |
            | g powerful moves. You're welcome.  |
     PreReq |                                    |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Blocker                            |
        Qty | 4                                  |
      Title | The Artificial Need                |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 |                                    |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power |                                    |
Description | To trash this card, you must trash |
            |  3 Food in one turn before Endgame |
            | .                                  |
         VP | -100                               |
      Snark | Food is how we keep you from makin |
            | g powerful moves. You're welcome.  |
            |                                    |
     PreReq |                                    |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Blocker                            |
        Qty | 4                                  |
      Title | The Artificial Need                |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 |                                    |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power |                                    |
Description | To trash this card, you must trash |
            |  3 Food in one turn before Endgame |
            | .                                  |
         VP | -100                               |
      Snark | Food is how we keep you from makin |
            | g powerful moves. You're welcome.  |
            |                                    |
     PreReq |                                    |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Blocker                            |
        Qty | 4                                  |
      Title | The Artificial Need                |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 |                                    |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power |                                    |
Description | To trash this card, you must trash |
            |  3 Food in one turn before Endgame |
            | .                                  |
         VP | -100                               |
      Snark | Food is how we keep you from makin |
            | g powerful moves. You're welcome.  |
            |                                    |
     PreReq |                                    |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Starter                            |
        Qty | 1                                  |
      Title | The Early Investment               |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 |                                    |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | Invested                           |
Description | You may only play this card before |
            |  playing an Engine.                |
         VP | 30                                 |
      Snark | Does nothing now, but it will pay  |
            | off later. The engine can wait.    |
     PreReq |                                    |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Starter                            |
        Qty | 2                                  |
      Title | Grain Breed!                       |
     Bonus1 | Grain                              |
     Bonus2 | Grain                              |
     Trash1 | <span font="FontAwesome"></span>  |
            | Grain                              |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power |                                    |
Description | You may trash this card for 1 Food |
            | .                                  |
         VP | 20                                 |
      Snark | Grain: the sheep of plants.        |
     PreReq | <span font="FontAwesome"></span>  |
            | Grain                              |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Starter                            |
        Qty | 2                                  |
      Title | Grain Breed!                       |
     Bonus1 | Grain                              |
     Bonus2 | Grain                              |
     Trash1 | <span font="FontAwesome"></span>  |
            | Grain                              |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power |                                    |
Description | You may trash this card for 1 Food |
            | .                                  |
         VP | 20                                 |
      Snark | Grain: the sheep of plants.        |
     PreReq | <span font="FontAwesome"></span>  |
            | Grain                              |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Starter                            |
        Qty | 1                                  |
      Title | The Wildcard Building              |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 |                                    |
     Trash2 |                                    |
  Requires1 | 💥 Building                         |
  Requires2 |                                    |
      Power | Silk Trade                         |
Description | You may trash 1 Silk for any 2 Res |
            | ources, any number of times.       |
         VP | 50                                 |
      Snark | Be sure to take this from someone  |
            | who has collected silk.            |
     PreReq | 💥 Building                         |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Starter                            |
        Qty | 3                                  |
      Title | Sheep Breed!                       |
     Bonus1 | Sheep                              |
     Bonus2 | Sheep                              |
     Trash1 | <span font="FontAwesome"></span>  |
            | Sheep                              |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power |                                    |
Description |                                    |
         VP | 30                                 |
      Snark | Sheep: the rabbits of farm animals |
            | .                                  |
     PreReq | <span font="FontAwesome"></span>  |
            | Sheep                              |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Starter                            |
        Qty | 3                                  |
      Title | Sheep Breed!                       |
     Bonus1 | Sheep                              |
     Bonus2 | Sheep                              |
     Trash1 | <span font="FontAwesome"></span>  |
            | Sheep                              |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power |                                    |
Description |                                    |
         VP | 30                                 |
      Snark | Sheep: the rabbits of farm animals |
            | .                                  |
     PreReq | <span font="FontAwesome"></span>  |
            | Sheep                              |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Starter                            |
        Qty | 3                                  |
      Title | Sheep Breed!                       |
     Bonus1 | Sheep                              |
     Bonus2 | Sheep                              |
     Trash1 | <span font="FontAwesome"></span>  |
            | Sheep                              |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power |                                    |
Description |                                    |
         VP | 30                                 |
      Snark | Sheep: the rabbits of farm animals |
            | .                                  |
     PreReq | <span font="FontAwesome"></span>  |
            | Sheep                              |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Special                            |
        Qty | 1                                  |
      Title | Early Sheep Climb!                 |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 | <span font="FontAwesome"></span>  |
            | Sheep                              |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power |                                    |
Description | Upon playing, climb 1 rung on a La |
            | dder                               |
         VP | 10                                 |
      Snark | I smell a strategy brewing…        |
     PreReq | <span font="FontAwesome"></span>  |
            | Sheep                              |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Starter                            |
        Qty | 1                                  |
      Title | The Stone Building Building Buildi |
            | ng                                 |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 | <span font="FontAwesome"></span>  |
            | Stone                              |
     Trash2 |                                    |
  Requires1 | 💥 Building                         |
  Requires2 |                                    |
      Power | Stone Building                     |
Description | You do not need to pay any require |
            | d Stone for Buildings.             |
         VP | 20                                 |
      Snark | Technically, we're just a shack ma |
            | de out of fiberglass, but this gam |
            | e doesn't need another resource.   |
     PreReq | <span font="FontAwesome"></span>  |
            | Stone                              |
            | 💥 Building                         |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Starter                            |
        Qty | 1                                  |
      Title | The Wood Building Building Buildin |
            | g                                  |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 | <span font="FontAwesome"></span>  |
            | Wood                               |
     Trash2 |                                    |
  Requires1 | 💥 Building                         |
  Requires2 |                                    |
      Power | Wood Building                      |
Description | You do not need to pay any require |
            | d Wood for Buildings               |
         VP | 10                                 |
      Snark | Not to be confused with the Buildi |
            | ng Wood Building, which is what we |
            |  call our indoor arboretum         |
     PreReq | <span font="FontAwesome"></span>  |
            | Wood                               |
            | 💥 Building                         |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Starter                            |
        Qty | 1                                  |
      Title | The Clay Building Building Buildin |
            | g                                  |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 | <span font="FontAwesome"></span>  |
            | Clay                               |
     Trash2 |                                    |
  Requires1 | 💥 Building                         |
  Requires2 |                                    |
      Power | Clay Building                      |
Description | You do not need to pay any require |
            | d Clay for Buildings.              |
         VP | 10                                 |
      Snark | We need some seed Clay for breedin |
            | g.                                 |
     PreReq | <span font="FontAwesome"></span>  |
            | Clay                               |
            | 💥 Building                         |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Starter                            |
        Qty | 1                                  |
      Title | The Obligatory Trader              |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 |                                    |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | 2:1 Trade                          |
Description | You may substitute 2 different Res |
            | ources for 1 of any Resource, any  |
            | number of times.                   |
         VP | 30                                 |
      Snark | I'm sure I'll use this enough to j |
            | ustify its purchase.               |
     PreReq |                                    |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Starter                            |
        Qty | 1                                  |
      Title | The Military Building              |
     Bonus1 | Soldier                            |
     Bonus2 | Soldier                            |
     Trash1 |                                    |
     Trash2 |                                    |
  Requires1 | 💥 Building                         |
  Requires2 | 💥 Military                         |
      Power |                                    |
Description | Player with most soldiers may tras |
            | h any 1 available Special at round |
            |  start in Midgame.                 |
         VP | 40                                 |
      Snark | And how do we feel about going mil |
            | itary right about now?             |
     PreReq | 💥 Building                         |
            | 💥 Military                         |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Midgame                            |
        Qty | 1                                  |
      Title | The Cattle Engine                  |
     Bonus1 |                                    |
     Bonus2 |                                    |
     Trash1 | <span font="FontAwesome"></span>  |
            | Wood                               |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power | Cow Power!                         |
Description | You may trash 1 Cattle for 2 Food, |
            |  and/or 1 Cattle for any Resource. |
            |                                    |
         VP | 40                                 |
      Snark | Don't base your entire strategy on |
            |  this card.                        |
     PreReq | <span font="FontAwesome"></span>  |
            | Wood                               |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Midgame                            |
        Qty | 1                                  |
      Title | Even More Sheep!                   |
     Bonus1 | Sheep                              |
     Bonus2 | Sheep                              |
     Trash1 | <span font="FontAwesome"></span>  |
            | Sheep                              |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power |                                    |
Description |                                    |
         VP | 30                                 |
      Snark | Sheep: the grain of animals.       |
     PreReq | <span font="FontAwesome"></span>  |
            | Sheep                              |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Midgame                            |
        Qty | 2                                  |
      Title | Even More Grain!                   |
     Bonus1 | Grain                              |
     Bonus2 | Grain                              |
     Trash1 | <span font="FontAwesome"></span>  |
            | Grain                              |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power |                                    |
Description | You may trash this card for 1 Food |
            |                                    |
         VP | 30                                 |
      Snark | Grain: the rabbits of plants.      |
     PreReq | <span font="FontAwesome"></span>  |
            | Grain                              |
            ╰------------------------------------╯
            ╭------------------------------------╮
       Type | Midgame                            |
        Qty | 2                                  |
      Title | Even More Grain!                   |
     Bonus1 | Grain                              |
     Bonus2 | Grain                              |
     Trash1 | <span font="FontAwesome"></span>  |
            | Grain                              |
     Trash2 |                                    |
  Requires1 |                                    |
  Requires2 |                                    |
      Power |                                    |
Description | You may trash this card for 1 Food |
            |                                    |
         VP | 30                                 |
