                   ╭------------------------------------╮
              Type | Engine                             |
               qty | 3                                  |
             Title | The Building Building Building     |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Stone                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Building                           |
       Description | You may now build buildings.       |
                VP | 20                                 |
        VP + Climb | 20                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 6.666666666666667                  |
Est. VP/Action Max |                                    |
             Snark | It's a total coincidence that we a |
                   | re housed in a building. In fact,  |
                   | we built our own building. We did  |
                   | not need a building building build |
                   | ing building building.             |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Engine                             |
               qty | 3                                  |
             Title | The Building Building Building     |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Stone                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Building                           |
       Description | You may now build buildings.       |
                VP | 20                                 |
        VP + Climb | 20                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 6.666666666666667                  |
Est. VP/Action Max |                                    |
             Snark | It's a total coincidence that we a |
                   | re housed in a building. In fact,  |
                   | we built our own building. We did  |
                   | not need a building building build |
                   | ing building building.             |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Engine                             |
               qty | 3                                  |
             Title | The Building Building Building     |
            Bonus1 |                                    |
            Bonus2 |                                    |
            Trash1 | Stone                              |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Building                           |
       Description | You may now build buildings.       |
                VP | 20                                 |
        VP + Climb | 20                                 |
  Est. Actions Min | 3.0                                |
  Est. Actions Max | 3.0                                |
Est. VP/Action Min | 6.666666666666667                  |
Est. VP/Action Max |                                    |
             Snark | It's a total coincidence that we a |
                   | re housed in a building. In fact,  |
                   | we built our own building. We did  |
                   | not need a building building build |
                   | ing building building.             |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Engine                             |
               qty | 3                                  |
             Title | The Military Strategy              |
            Bonus1 | Soldier                            |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Army                               |
       Description | At each round start before Endgame |
                   | , player with the most soldiers pl |
                   | aces Largest Army token on any car |
                   | d in a purchase row. Anyone who ta |
                   | kes that card must pay this person |
                   |  1 Resource Card. In a tie, nobody |
                   |  places the token.                 |
                VP | 20                                 |
        VP + Climb | 20                                 |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min | 10.0                               |
Est. VP/Action Max |                                    |
             Snark | This strategy worked for me once.  |
                   | I think.                           |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Engine                             |
               qty | 3                                  |
             Title | The Military Strategy              |
            Bonus1 | Soldier                            |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Army                               |
       Description | At each round start before Endgame |
                   | , player with the most soldiers pl |
                   | aces Largest Army token on any car |
                   | d in a purchase row. Anyone who ta |
                   | kes that card must pay this person |
                   |  1 Resource Card. In a tie, nobody |
                   |  places the token.                 |
                VP | 20                                 |
        VP + Climb | 20                                 |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min | 10.0                               |
Est. VP/Action Max |                                    |
             Snark | This strategy worked for me once.  |
                   | I think.                           |
                   |                                    |
                   ╰------------------------------------╯
                   ╭------------------------------------╮
              Type | Engine                             |
               qty | 3                                  |
             Title | The Military Strategy              |
            Bonus1 | Soldier                            |
            Bonus2 |                                    |
            Trash1 |                                    |
            Trash2 |                                    |
         Requires1 |                                    |
         Requires2 |                                    |
           AntiReq |                                    |
             Power | Army                               |
       Description | At each round start before Endgame |
                   | , player with the most soldiers pl |
                   | aces Largest Army token on any car |
                   | d in a purchase row. Anyone who ta |
                   | kes that card must pay this person |
                   |  1 Resource Card. In a tie, nobody |
                   |  places the token.                 |
                VP | 20                                 |
        VP + Climb | 20                                 |
  Est. Actions Min | 2.0                                |
  Est. Actions Max | 2.0                                |
Est. VP/Action Min | 10.0                               |
Est. VP/Action Max |                                    |
             Snark | This strategy worked for me once.  |
                   | I think.                           |
                   |                                    |
